Nombre,Comuna,Direccion,Tipos,Lng,Lat,Ciudad,Icono,Id
Outlet Quilicura,Quilicura,"San Ignacio 500, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3312361,-70.7049394,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJkzUcCFrHYpYRl8KZ8U8sq7Y
Outlet Boulevard,Quilicura,"San Ignacio 1001, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3327087,-70.7109677,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJIdo74FPHYpYRhjfzqpTiOvA
MALL MILAN Chile Limitada,Quilicura,"José Francisco Vergara 95, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3664904,-70.7363271,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJeX5cQNzAYpYRfabMep97CfI
Lippi Outlet,Quilicura,"San Ignacio 200, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3316496,-70.7017147,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJKY9ztFvHYpYR8lWotkCVFPk
Hites,Quilicura,"Av. Bernardo O'Higgins 281, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.368383,-70.7301173,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJt0k6j9nAYpYRRvBLnjm-CrI
Strip Center Patio Quilicura,Quilicura,"Santiago, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.35533,-70.72883,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJU0u_AsbAYpYRRREmbC-gxnc
Parque Arauco Outlet Buenaventura,Quilicura,"San Ignacio 500, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.33152750000001,-70.70483639999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJbbU5ClrHYpYRur9q2zAcu0M
Aires del Mueble,Quilicura,"San Ignacio 701, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3317542,-70.7077383,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ_amy2VDHYpYRHcl2M7J_OJE
MultiOutlet,Quilicura,"San Ignacio 101, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.329523,-70.701566,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJD_afeFnHYpYRvz0O3kdNq7k
Polo Ralph Lauren,Quilicura,"San Ignacio 500, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3311192,-70.7049744,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJxzcwqFDHYpYRAgjj6GV-ADw
Rittal,Quilicura,"Galvarino 8501, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.341196,-70.7012422,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ25vUhEbHYpYRyuVeQf2OeTE
Outlets,Quilicura,"San Ignacio 532, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3315187,-70.7045638,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJ2wJIr1DHYpYRPT_n0FXpCVg
Nike Factory,Quilicura,"Pdte Eduardo Frei Montalva 9700, Quilicura, Región Metropolitana","['shopping_mall', 'point_of_interest', 'establishment']",-33.3349267,-70.7136609,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJaWgpVFLHYpYRKDWXldYKtXA
Centro Artesanal Santa Lucia,Santiago,"Santiago, Santiago Metropolitan","['shopping_mall', 'point_of_interest', 'establishment']",-33.4426869,-70.64389299999999,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/shopping-71.png,ChIJWQPGvJ_FYpYRvEbLji0RT_M
Museo de Autos,Quilicura,"Calle Cañaveral 200, Quilicura, Región Metropolitana","['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",-33.3291004,-70.7279803,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJlfKtHKjAYpYR4i1QzNhFFLQ
"Museo en Ámsterdam, Países Bajos",Quilicura,"Ana Frank, Quilicura, Región Metropolitana","['museum', 'point_of_interest', 'establishment']",-33.3608967,-70.7272472,Santiago,https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png,ChIJVc7YRnbBYpYReiqLB2VnlRc
